Label	subjectText	subjectType
phytoene synthase	Pat:CrtB	Gene_or_Protein
phytoene synthase	Phytoene synthase	Gene_or_Protein
PI-1	PI-1	Gene_or_Protein
Pin2	Pin2	Gene_or_Protein
PINII	PINII	Gene_or_Protein
plastidic phosphoglucomutase	plastidic phosphoglucomutase	Gene_or_Protein
PME	StPME	Gene_or_Protein
polyphenol oxidase	polyphenol oxidase	Gene_or_Protein
polyphenol oxidase	Polyphenol oxidases	Gene_or_Protein
POT32	POT32	Gene_or_Protein
POT32	POT32PS1	Gene_or_Protein
POT33	POT33	Gene_or_Protein
POTH1	POTH1	Gene_or_Protein
POTM1	POTM1	Gene_or_Protein
POTM1	POTM1-1	Gene_or_Protein
POTP1	POTP1	Gene_or_Protein
POTP2	POTP2	Gene_or_Protein
PP2Ac	PP2Ac	Gene_or_Protein
PP2As	PP2As	Gene_or_Protein
PPCAS07TH	PPCAS07TH	Gene_or_Protein
PPI1	StPPI1	Gene_or_Protein
PPI2C4	PPI2C4	Gene_or_Protein
PPI3B2	PPI3B2	Gene_or_Protein
PPO	PPO	Gene_or_Protein
PPO	PPO1	Gene_or_Protein
PPO	PPO2	Gene_or_Protein
PPO	PPO3	Gene_or_Protein
PPO	PPOs	Gene_or_Protein
PR1	PR1	Gene_or_Protein
PR1	PR-1	Gene_or_Protein
prenyltransferase	prenyltransferase	Gene_or_Protein
prephenate dehydratase	prephenate dehydratase	Gene_or_Protein
PrSus1	PrSus1	Gene_or_Protein
psy	psy	Gene_or_Protein
psy	psy1	Gene_or_Protein
psy	Psy-1	Gene_or_Protein
psy	PSY2	Gene_or_Protein
PTB6	StPTB6	Gene_or_Protein
PTOX	PTOX	Gene_or_Protein
Pun1	Pun1	Gene_or_Protein
putrescine N-hydroxycinnamoyl transferase	putrescine N-hydroxycinnamoyl transferase	Gene_or_Protein
PW9-2-5	PW9-2-5	Gene_or_Protein
PYP1	PYP1	Gene_or_Protein
R	R	Gene_or_Protein
R2R3-MYB	R2R3MYB	Gene_or_Protein
R2R3-MYB	R2R3-MYB	Gene_or_Protein
Ram1	Ram1	Gene_or_Protein
RBOH1	RBOH1	Gene_or_Protein
RCCR	RCCR	Gene_or_Protein
recessiveZEP	recessiveZEP	Gene_or_Protein
Rg1	Rg1	Gene_or_Protein
ribulose-bisphosphate carboxylase	ribulose-1,5-bisphosphate carboxylase	Gene_or_Protein
ribulose-bisphosphate carboxylase	ribulose-bisphosphate carboxylase	Gene_or_Protein
ripening	ripening	Gene_or_Protein
root	root	Gene_or_Protein
root	root-	Gene_or_Protein
root-knot nematode	root-knot nematode	Gene_or_Protein
root-knot nematode	root-knot nematodes	Gene_or_Protein
root-localized	root-localized	Gene_or_Protein
Root-LOX;	Root-LOX;	Gene_or_Protein
Ros1	Ros1	Gene_or_Protein
SANT/MYB	SANT/MYB	Gene_or_Protein
SbSnRK1	SbSnRK1	Gene_or_Protein
sesquiterpene synthase	sesquiterpene synthase	Gene_or_Protein
SGT	SGT1	Gene_or_Protein
SGT	Sgt2	Gene_or_Protein
SGT	SGT3	Gene_or_Protein
Sho	Sho	Gene_or_Protein
SIRT1	SIRT1	Gene_or_Protein
ABI3-F	SlABI3-F	Gene_or_Protein
AN2	SlAN2	Gene_or_Protein
CCD1	SlCCD1	Gene_or_Protein
CCD1	SlCCD1A	Gene_or_Protein
CCD1	SlCCD1B	Gene_or_Protein
CCD1	SlCCD7	Gene_or_Protein
CCD1	SlCCD8	Gene_or_Protein
CHR1	SlCHR1	Gene_or_Protein
EIL1	Sl-EIL1	Gene_or_Protein
etr1	Sletr1-1	Gene_or_Protein
etr1	Sletr1-2	Gene_or_Protein
Slexp1-7_Q213Stop	Slexp1-7_Q213Stop	Gene_or_Protein
HsfA3	SlHsfA3	Gene_or_Protein
HUB	SlHUB1	Gene_or_Protein
HUB	SlHUB2	Gene_or_Protein
MED21	SlMED21	Gene_or_Protein
NAC3	SlNAC3	Gene_or_Protein
NCED1	SlNCED1	Gene_or_Protein
PP2C	SlPP2C2	Gene_or_Protein
PP2C	SlPP2C3	Gene_or_Protein
PSY1	SlPSY1	Gene_or_Protein
PYL	SlPYL1	Gene_or_Protein
PYL	SlPYL2	Gene_or_Protein
PYL	SlPYL8	Gene_or_Protein
SnRK2	SlSnRK2.4	Gene_or_Protein
SnRK2	SlSnRK2.5	Gene_or_Protein
SnRK2	SlSnRK2.6	Gene_or_Protein
TPR1	SlTPR1	Gene_or_Protein
UPB1	SlUPB1	Gene_or_Protein
ZEP	SlZEP1	Gene_or_Protein
ZFP	SlZFP2	Gene_or_Protein
SN1	SN1	Gene_or_Protein
Snf2	Snf2	Gene_or_Protein
SnRK1	SnRK1	Gene_or_Protein
Solly	Solly;	Gene_or_Protein
SoSUT1	SoSUT1	Gene_or_Protein
SP6A	StSP6A	Gene_or_Protein
spermidine synthase	spermidine synthase	Gene_or_Protein
spr2	spr2	Gene_or_Protein
SSR2	SSR2	Gene_or_Protein
ABF1	StABF1	Gene_or_Protein
starch	Starch	Gene_or_Protein
starch phosphorylase	Starch phosphorylase	Gene_or_Protein
starch synthase	starch synthase	Gene_or_Protein
starch synthase	starch synthase I	Gene_or_Protein
stilbene synthase	stilbene synthase	Gene_or_Protein
STMET49	STMET49	Gene_or_Protein
STMGQ82	STMGQ82	Gene_or_Protein
STMHT55	STMHT55	Gene_or_Protein
STMIG86	STMIG86	Gene_or_Protein
sucrose	Sucrose	Gene_or_Protein
sucrose hydrolysis	sucrose hydrolysis	Gene_or_Protein
Sucrose isomerase	Sucrose isomerase	Gene_or_Protein
sucrose non-fermenting-1-related	sucrose non-fermenting-1-related	Gene_or_Protein
sucrose synthase	sucrose synthase	Gene_or_Protein
sucrose transporter	StSUT1	Gene_or_Protein
sucrose transporter	StSUT4	Gene_or_Protein
sucrose transporter	sucrose transporter	Gene_or_Protein
sucrose-related protein	sucrose-related	Gene_or_Protein
sulfoxide reductase	sulfoxide reductase	Gene_or_Protein
superoxide dismutase	superoxide dismutase	Gene_or_Protein
Sus	Sus	Gene_or_Protein
Sus	Sus4	Gene_or_Protein
Sus	Sus4-16	Gene_or_Protein
Sus	SuSy	Gene_or_Protein
Sus	SUSY1	Gene_or_Protein
Sus	SUSY4	Gene_or_Protein
SUT1	SUT1	Gene_or_Protein
SUT1	SUT2	Gene_or_Protein
SXD1	StSXD1	Gene_or_Protein
SXD1	SXD1	Gene_or_Protein
syntaxin-related1	SYNTAXIN-RELATED1	Gene_or_Protein
synthase	synthase	Gene_or_Protein
SYR1	StSYR1	Gene_or_Protein
T6P synthase	T6P synthase	Gene_or_Protein
TAGL1	TAGL1	Gene_or_Protein
TAS14	tas14	Gene_or_Protein
TERF1	TERF1	Gene_or_Protein
terpene synthase	terpene synthase	Gene_or_Protein
TFL1	tfl1	Gene_or_Protein
thermospermine synthase	thermospermine synthase	Gene_or_Protein
threonine synthase	threonine synthase	Gene_or_Protein
tlcy-b	tlcy-b	Gene_or_Protein
TLRP	StTLRP	Gene_or_Protein
TLRP	TLRP	Gene_or_Protein
TM858	STTM858	Gene_or_Protein
tms1	tms1	Gene_or_Protein
Tocopherol cyclase	Tocopherol cyclase	Gene_or_Protein
TOMSSF	TOMSSF	Gene_or_Protein
tos1	tos1	Gene_or_Protein
TPS	TPS	Gene_or_Protein
TPS	TPS11	Gene_or_Protein
TPS	TPS46	Gene_or_Protein
TS	TS	Gene_or_Protein
tss2	tss2	Gene_or_Protein
tubulin	tubulin	Gene_or_Protein
tyramine hydroxycinnamoyl transferase	tyramine hydroxycinnamoyl transferase	Gene_or_Protein
tyrosine decarboxylase	tyrosine decarboxylase	Gene_or_Protein
Ubi7	Ubi7	Gene_or_Protein
UCP	StUCP	Gene_or_Protein
UDP	UDP	Gene_or_Protein
UDP	UDP-Glc:protein transglucosylase	Gene_or_Protein
UDP	UDP-glucose 3-O-flavonoid glucosyltransferase	Gene_or_Protein
UFD	UFD	Gene_or_Protein
UGE	UGE	Gene_or_Protein
UPTG	UPTG	Gene_or_Protein
Uridine diphosphate	Uridine diphosphate	Gene_or_Protein
UV	UV	Gene_or_Protein
vacINV1	StvacINV1	Gene_or_Protein
VDE	VDE	Gene_or_Protein
VHP	VHP	Gene_or_Protein
VIN1	VIN1	Gene_or_Protein
violaxanthin de-epoxidase	violaxanthin de-epoxidase	Gene_or_Protein
VTE5	VTE5	Gene_or_Protein
WD40	WD40	Gene_or_Protein
WEE1	WEE1	Gene_or_Protein
WEE1 kinase	WEE1 kinase	Gene_or_Protein
Why1	StWhy1	Gene_or_Protein
WRI1	WRI1	Gene_or_Protein
xanthine oxidase	xanthine oxidase	Gene_or_Protein
XET	XET	Gene_or_Protein
Y	Y	Gene_or_Protein
yft1	yft1	Gene_or_Protein
ZBF1	ZBF1/MYC2bHLH	Gene_or_Protein
zds	zds	Gene_or_Protein
zeaxanthin epoxidase	ZE	Gene_or_Protein
zeaxanthin epoxidase	zeaxanthin epoxidase	Gene_or_Protein
zeaxanthin epoxidase	zeaxanthin epoxi-dase	Gene_or_Protein
zeaxanthin epoxidase	zeaxanthin epox-idase	Gene_or_Protein
zeaxanthin epoxidase	ZEP	Gene_or_Protein
zeaxanthin epoxidase	Zep1	Gene_or_Protein
zeta-carotene	zeta-carotene	Gene_or_Protein
zeta-carotene	zeta-carotene desaturase	Gene_or_Protein
zinc-finger	zinc-finger	Gene_or_Protein
Z-ISO	Z-ISO	Gene_or_Protein
ZmP5CS2	ZmP5CS2	Gene_or_Protein
ZPT2-10	ZPT2-10	Gene_or_Protein
1,25-dihydroxyvitamin D3	1,25-dihydroxyvitamin D3	Metabolite
12-hydroxy epijasmonic acid	12-hydroxy epi-jasmonic acid	Metabolite
12-oxophytodienoic acid	12-oxophytodienoic acid	Metabolite
13-hydroperoxylinolenic acid	13-hydroperoxylinolenic acid	Metabolite
18-hydroxyoleic acid	18-hydroxyoleic acid	Metabolite
1-aminocyclopropane-1-carboxylic acid	1-aminocyclopropane-1-carboxylic acid	Metabolite
1-naphthylphthalamic acid	1-naphthylphthalamic acid	Metabolite
2,4-dichlorophenoxyacetic acid	2,4-dichlorophenoxyacetic acid	Metabolite
2-butenedioic acid	2-butenedioic acid	Metabolite
2-methylpropanoic acid	2-methylpropanoic acid	Metabolite
3,5-diglucosides	3,5-digluco-sides	Metabolite
3-dehydro-6-deoxoteasterone	3-dehydro-6-deoxoteasterone	Metabolite
3-hydroxy beta-ionone	3-hydroxy b-ionone	Metabolite
3-methylbutanoic acid	3-methylbutanoic acid	Metabolite
3-phosphoglyceric acid	3-phosphoglyceric acid	Metabolite
3-phosphoglyceric acid	3-phosphogyceric acid	Metabolite
4-diaminobutyric acid aminotransferase	4-diaminobutyric acid aminotransferase	Metabolite
5-caffeoylquinic acid	5-caffeoylquinic acids	Metabolite
5-caffeoylquinic acid	5-caVeoyl quinic acid	Metabolite
6-benzyladenine	6-benzyladenine	Metabolite
6-deoxotyphasterol	6-deoxotyphasterol	Metabolite
9-cis-epoxycarotenoids	9-cis-epoxycarotenoids	Metabolite
9-cis-neoxanthin	9#-cis-neoxanthin	Metabolite
9-cis-violaxanthin	9-cis-violaxanthin	Metabolite
9-oxo-ODA	9-oxo-ODA	Metabolite
A	A	Metabolite
ABA	ABA	Metabolite
ABA-dependent	ABA-dependent	Metabolite
ABA-GA	ABA-GA	Metabolite
ABA-hyposensitive	ABA-hyposensitive	Metabolite
ABA-overproducer	ABA-overproducer	Metabolite
abscisic acid	abscisic acid	Metabolite
abscisic acid	Abscissic acid	Metabolite
ACC	ACC	Metabolite
acidic lumen	acidic lumen	Metabolite
ACY	ACY	Metabolite
AIB	AIB	Metabolite
aliphatic	aliphatic	Metabolite
alpha-carotene	a-carotene	Metabolite
alpha-carotene	alpha-carotene	Metabolite
alpha-chaconine	a-chaconine	Metabolite
alpha-solanine	a-solanine	Metabolite
alpha-tocopherol	a-tocopherol	Metabolite
anacardic acid	anacardic acid	Metabolite
antheraxanthin	antheraxanthin	Metabolite
antheraxanthin	antherax-anthin	Metabolite
antheraxanthin	anther-axanthin	Metabolite
anthocyanidin	anthocyanidins	Metabolite
anthocyanin	anthocyanin	Metabolite
anthocyanin	anthocyanin-	Metabolite
anthocyanin	anthocyanins	Metabolite
anthocyanin glycosides	anthocyanin glycosides	Metabolite
anthocyanin-linked hydroxycinnamic acids	anthocyanin-linked hydroxycinnamic acids	Metabolite
apigenin	apigenin	Metabolite
apocarotenoid	apocarotenoid	Metabolite
apocarotenoid	apocarotenoids	Metabolite
ascorbate	ascorbate	Metabolite
ascorbic acid	ascorbic acid	Metabolite
astaxanthin	astaxanthin	Metabolite
attenuate	attenuate	Metabolite
beta-carotene	b-carotene	Metabolite
beta-carotene	beta-carotene	Metabolite
beta-carotene	β-carotene	Metabolite
beta-cryptoxanthin	b-cryptox-anthin	Metabolite
beta-ionone	b-ionone	Metabolite
CA	CA	Metabolite
caffeic acid	caffeic	Metabolite
caffeic acid	caffeic acid	Metabolite
caffeic acid	caffeic acids	Metabolite
caffeoyl	caffeoyl	Metabolite
caffeoylquinic acid	caffeoylquinic acid	Metabolite
caffeoylquinic acid	caVeoyl quinic acid	Metabolite
calmodulin	Calmodulin	Metabolite
capsaicinoids	capsaicinoids	Metabolite
capsanthin	capsanthin	Metabolite
capsanthin-5,6-epoxide	capsanthin-5,6-epoxide	Metabolite
capsorubin	capsorubin	Metabolite
carboxylic acid	carboxylic acid	Metabolite
carotene	carotene	Metabolite
carotene	carotenes	Metabolite
#NAME?
carotenoid	carotenoid	Metabolite
carotenoid	carotenoids	Metabolite
carotenoid esters	carotenoid esters	Metabolite
cellulosic	cellulosic	Metabolite
CGA	CGA	Metabolite
chaconine	chaconine	Metabolite
chlorogenic acid	chlorogenic acid	Metabolite
chlorogenic acid	chlorogen-ic acid	Metabolite
chlorogenic acid	chlorogenic acids	Metabolite
chlorophyll	chlorophyll	Metabolite
chloroplastic compartments	chloroplastic compartments	Metabolite
cinnamic	cinnamic	Metabolite
cis-z-carotene	cis-z-carotene	Metabolite
copal-8-ol diphosphate	copal-8-ol diphosphate	Metabolite
cyanidin	cyanidin	Metabolite
cyclic carotenoids	cyclic carotenoids	Metabolite
cyclin	cyclin	Metabolite
cyclin-dependent	cyclin-dependent	Metabolite
cycloartanol	cycloartanol	Metabolite
cyclopentanone	cyclopentanone	Metabolite
cyclophilin A	cyclophilin A	Metabolite
cystathionine	cystathionine	Metabolite
cystathionine beta-lyase	cystathionine beta-lyase	Metabolite
cystathionine-gamma-synthase	cystathionine-gamma-synthase	Metabolite
cysteine	cysteine	Metabolite
cytokinin	cytokinin	Metabolite
cytokinin	cytokinins	Metabolite
cytokinin-activating	cytokinin-activating	Metabolite
cytosine	cytosine	Metabolite
delphinidin	delphinidin	Metabolite
delphinidin	delphinidinin	Metabolite
dicaffeoyltartaric acid	dicaffeoyltartaric acid	Metabolite
dihydrocapsaicin	dihydrocapsaicin	Metabolite
dihydrophaseic acid	dihydrophaseic acid	Metabolite
diols	diols	Metabolite
EAA	EAA	Metabolite
epoxidase	epoxidase	Metabolite
epoxides	epoxides	Metabolite
epoxycarotenoids	epoxycarotenoids	Metabolite
ester	ester	Metabolite
ethylene	ethylene	Metabolite
ferredoxin	ferredoxin	Metabolite
ferulic acid	ferulic acid	Metabolite
feruloyl	feruloyl	Metabolite
flagellin	flagellin	Metabolite
flavonoid	flavonoid	Metabolite
flavonoid	flavonoids	Metabolite
flavonol	flavonol	Metabolite
flavonol	flavonols	Metabolite
flavonone 3	flavonone 3	Metabolite
flavour	flavour	Metabolite
fructose	fructose	Metabolite
fusaric acid	fusaric acid	Metabolite
GA	GA	Metabolite
GABA	GABA	Metabolite
galactosyl	galactosyl	Metabolite
gallic acid	Gallic acid	Metabolite
geranylacetone	geranylacetone	Metabolite
geranylgeranyl diphosphate	geranylgeranyl diphosphate	Metabolite
geranylgeranyl diphosphate	geranylger-anyl diphosphate	Metabolite
gibberellic acid	gibberellic acid	Metabolite
gibberellin	gibberellin	Metabolite
glucopyranose	glucopyranose	Metabolite
glucose	glucose	Metabolite
glucose-1-phosphate	glucose-1-phosphate	Metabolite
glutathione	glutathione	Metabolite
glutelin	glutelin	Metabolite
glycinebetaine	glycinebetaine	Metabolite
glycoalkaloid	glycoalkaloid	Metabolite
glycoalkaloid	glycoalkaloids	Metabolite
glycolytic	glycolytic	Metabolite
glycosides	glycosides	Metabolite
glycosides of anthocyanidins	glycosides of anthocya-nidins	Metabolite
hydroxycinnamic acid	hydroxycinnamic acid	Metabolite
hydroxycinnamic acid	hydroxycinnamic acids	Metabolite
hydroxyproline	hydroxyproline	Metabolite
IAA	IAA	Metabolite
indole-3-pyruvic acid	indole-3-pyruvic acid	Metabolite
intestine	intestine	Metabolite
IPA	IPA	Metabolite
isoleucine	isoleucine	Metabolite
isoprenoids	isoprenoids	Metabolite
jasmonates	jasmonates	Metabolite
jasmonic acid	jasmonic acid	Metabolite
kanamycin	kanamycin	Metabolite
ketocarotenoid astaxanthin	ketocarotenoid astaxanthin	Metabolite
ketocarotenoid astaxanthin	ketocarotenoid astaxan-thin	Metabolite
L-2,4-diaminobutyric acid	L-2,4-diaminobutyric acid	Metabolite
l-Ascorbic acid	l-Ascorbic acid	Metabolite
LCY-b pathway carotenoids	LCY-b pathway carotenoids	Metabolite
linoleic acid	linoleic acid	Metabolite
lipoic acid	lipoic acid	Metabolite
L-phenylalanine	L-phenylalanine	Metabolite
L-tyrosine	l-tyrosine	Metabolite
lutein	lutein	Metabolite
lutein	luteinmuch	Metabolite
lutein-5,6-epoxide	lutein-5, 6-epoxide	Metabolite
lutein-5,6-epoxide	lutein-5,6-epoxide	Metabolite
luteolin	luteolin	Metabolite
lycopene	lycopene	Metabolite
lycopene-e-cyclase	lycopene ε-cyclase	Metabolite
lycopene-e-cyclase	lycopene-e-cyclase	Metabolite
lycopene-to-provitamin A	lycopene-to-provitamin A	Metabolite
lysine	lysine	Metabolite
malic acid	malic acid	Metabolite
malonyldialdehyde	malonyldialdehyde	Metabolite
maltose	maltose	Metabolite
malvidin	malvidin	Metabolite
malvidin-3-p-coumaroylrutinoside-5-glucoside	malvidin-3-p-coumaroylrutinoside-5-glucoside	Metabolite
methionine	methionine	Metabolite
methyl jasmonate	methyl jasmonate	Metabolite
MMA	MMA	Metabolite
monodehydroascorbate	monodehydroascorbate	Metabolite
monomethylarsonic acid	monomethylarsonic acid	Metabolite
neochlorogenic acid	neochlorogenic acid	Metabolite
neoxanthin	neoxanthin	Metabolite
neoxanthin A	neoxanthin A	Metabolite
nonepoxides	nonepoxides	Metabolite
Nordihydroguaiaretic acid	Nordihydroguaiaretic acid	Metabolite
norflurazon	norflurazon	Metabolite
NPA	NPA	Metabolite
nucleic acid	nucleic acid	Metabolite
nucleoside diphosphate	nucleoside diphosphate	Metabolite
octadecadienoic acid	octadecadienoic acid	Metabolite
palatinose	palatinose	Metabolite
p-coumaric	p-coumaric	Metabolite
pelargonidin	pelargonidin	Metabolite
peonidin	peonidin	Metabolite
petunidin	petunidin	Metabolite
petunidin-3-p-coumaroylrutinoside-5-glucoside	petunidin-3-coum-rutinoside-5-glu	Metabolite
petunidin-3-p-coumaroylrutinoside-5-glucoside	petunidin-3-p-coumaroylrutinoside-5-glucoside	Metabolite
PGA	PGA	Metabolite
phenazine-1-carboxamide	phenazine-1-carboxamide	Metabolite
phenethylamine	phenethylamine	Metabolite
phenolic	phenol	Metabolite
phenolic	phenolic	Metabolite
phenolic	phenolic acids	Metabolite
phenolic	phenolics	Metabolite
phenylalanine	phenylalanine	Metabolite
phosphotyrosine	phosphotyrosine	Metabolite
phtalamic acid	phtalamic acid	Metabolite
phytoene	phytoene	Metabolite
polyamine	polyamine	Metabolite
polygalacturonic acid	polygalacturonic acid	Metabolite
polyphenol	polyphenol	Metabolite
polyphenol	polyphenolic	Metabolite
polyphenol	polyphenols	Metabolite
prenyl pyrophosphate	prenyl pyrophosphate	Metabolite
prenyl pyrophosphate	prenyl pyrophosphates	Metabolite
protocatechuic acid	Protocatechuic acid	Metabolite
provitamin A	provitamin A	Metabolite
provitamin A	provitamin A.	Metabolite
pseudoionone	pseudoionone	Metabolite
quercetin	quercetin	Metabolite
quercetin-3-rutinoside	quercetin-3-rutinoside	Metabolite
quinabactin	quinabactin	Metabolite
quinones	quinones	Metabolite
retinol	retinol	Metabolite
rutin	rutin	Metabolite
salicylic acid	Salicylic acid	Metabolite
solanine	solanine	Metabolite
starch	starch	Metabolite
starch-synthesizing	starch-synthesizing	Metabolite
staurosporine	staurosporine	Metabolite
strigolactone	strigolactone	Metabolite
strigolactone	strigolactones	Metabolite
sucrose	sucrose	Metabolite
sucrose-hexose	sucrose-hexose	Metabolite
sucrose-hydrolysing	sucrose-hydrolysing	Metabolite
sucrose-responsive	sucrose-responsive	Metabolite
TAC	TAC	Metabolite
taraxanthin	taraxanthin	Metabolite
taraxanthin	tarax-anthin	Metabolite
TCA	TCA	Metabolite
teasterone	teasterone	Metabolite
tocopherol	tocopherol	Metabolite
tocopherol	tocopherols	Metabolite
TP	TP	Metabolite
trans-cinnamic acid	trans-cinnamic acid	Metabolite
tricarboxylic acid	tricarboxylic acid	Metabolite
tuberonic acid	tuberonic acid	Metabolite
tyramine	tyramine	Metabolite
tyrosine	tyrosine	Metabolite
tyrosine	tyrosine-and	Metabolite
UDP-galactose	UDP-galactose	Metabolite
uronic acid	uronic acid	Metabolite
V	V	Metabolite
violaxanthin	violaxanthin	Metabolite
violaxanthin	violaxan-thin	Metabolite
violaxanthin	viola-xanthin	Metabolite
violaxanthin-like carotenoid	violaxanthin-like carotenoid	Metabolite
violoxanthin	violoxanthin	Metabolite
vitamin A	vitamin A	Metabolite
vitamin A	vitamin A.	Metabolite
xanthine	xanthine	Metabolite
xanthophyll	xanthophyll	Metabolite
xanthophyll	xanthophylls	Metabolite
xanthophyll esters	xanthophyll esters	Metabolite
xanthoxin	xanthoxin	Metabolite
Z	Z	Metabolite
Z-abienol	Z-abienol	Metabolite
z-carotene	z-carotene	Metabolite
zea	zea	Metabolite
zeaxanthin	zeaxanthin	Metabolite
zeaxanthin	zeax-anthin	Metabolite
zeaxanthin-rich	zeaxanthin-rich	Metabolite
Label	subjectText	subjectType
amylopectin branching	amylopectin branching	Trait
branching	branching	Trait
browning	Browning	Trait
colour	colour	Trait
colour	coloured	Trait
cooking type	cooking type	Trait
developing tubers	developing tubers	Trait
development	development	Trait
discoloration	discoloration	Trait
disease resistance	disease resistance	Trait
dormancy	dormancy	Trait
enzymatic discoloration	ED	Trait
enzymatic discoloration	enzymatic browning	Trait
enzymatic discoloration	enzymatic discoloration	Trait
flesh	flesh	Trait
flesh	fleshed	Trait
flesh trait	Flesh Trait	Trait
flower colour	flower colour	Trait
flower development	flower development	Trait
flower shape	flower shape	Trait
flowering	flower	Trait
flowering	flowering	Trait
growth	growth	Trait
nutritional value	nutritional value	Trait
onset	onset	Trait
orange flesh	orange-fleshed	Trait
plant development	plant development	Trait
plant growth	plant growth	Trait
plant height	plant height	Trait
quality trait	quality trait	Trait
quality trait	Quality traits	Trait
senescence	senescence	Trait
shoot growth	shoot	Trait
shoot growth	shoot branching	Trait
shoot growth	shoot formation	Trait
shoot growth	shoot growth	Trait
shoot growth	shoot-branching	Trait
sprouting	sprouting	Trait
stolon swelling	stolon swelling	Trait
stolon swelling	swelling stolons	Trait
swelling	swelling	Trait
texture after cooking	texture after cooking	Trait
tuber color	tuber color	Trait
tuber cooking type	tuber cooking type	Trait
tuber development	tuber development	Trait
tuber dormancy	tuber dormancy	Trait
tuber firmness after cooking	tuber firmness after cooking	Trait
tuber flesh	flesh tuber	Trait
tuber flesh	fleshed tuber	Trait
tuber flesh	tuber flesh	Trait
tuber flesh colour	flesh color	Trait
tuber flesh colour	flesh colors	Trait
tuber flesh colour	flesh colour	Trait
tuber flesh colour	flesh colours	Trait
tuber flesh colour	tuber flesh color	Trait
tuber flesh colour	Tuber flesh colour	Trait
tuber flesh colour	tuber Xesh color	Trait
tuber growth	tuber formation	Trait
tuber growth	tuber growth	Trait
tuber initiation	tuber induction	Trait
tuber initiation	tuber initiation	Trait
tuber initiation	tuber onset	Trait
tuber initiation	tuber organogenesis	Trait
tuber initiation	tuberization	Trait
tuber maturation	tuber maturation	Trait
tuber mealiness	tuber mealiness	Trait
tuber number	tuber number	Trait
tuber shape	tuber shape	Trait
tuber size	Tuber size	Trait
tuber weight	tuber weight	Trait
tuber yield	tuber yield	Trait
tuber yield	yield of tubers	Trait
white flesh colour	white-fleshed	Trait
yellow orange colour	yellow-orange color	Trait
yield	yield	Trait
H	′H	Gene_or_Protein
AN1	AN1	Gene_or_Protein
AN2	an2	Gene_or_Protein
anthocyanidin-3′-O-glycoside-6′-O-acyl transferase	anthocyanidin-3′-O-glycoside-6′-O-acyl transferase	Gene_or_Protein
anthocyanidin-glycoside-3′-O-methyl transferase	anthocyanidin-glycoside-3′-O-methyl transferase	Gene_or_Protein
ascorbate peroxidase	ascorbate peroxidase	Gene_or_Protein
beta-carotene hydroxylase	Bch	Gene_or_Protein
 -carotene desaturase	-carotene desaturase	Gene_or_Protein
 -carotene hydroxylase	-carotene hydroxylase	Gene_or_Protein
CCD4	CCD4A	Gene_or_Protein
CCS	Ccs	Gene_or_Protein
cd2	CD2	Gene_or_Protein
chalcone synthase	Chalcone synthase	Gene_or_Protein
CHS	chs	Gene_or_Protein
CHY	Chy	Gene_or_Protein
CHY	Chy2	Gene_or_Protein
crtB	CRTB	Gene_or_Protein
crtI	CrtI	Gene_or_Protein
CrtISO	CRTISO	Gene_or_Protein
 -cysteine desulfhydrase	-cysteine desulfhydrase	Gene_or_Protein
DXS	dxs	Gene_or_Protein
epoxide hydrolase	Epoxide hydrolase	Gene_or_Protein
F3H	f3h	Gene_or_Protein
flavonoid-3-hydroxylase	flavonoid-3′-hydroxylase;	Gene_or_Protein
 -glucuronidase	-glucuronidase	Gene_or_Protein
JAF13	jaf13	Gene_or_Protein
kinase	KINASE	Gene_or_Protein
LCY-b	LCY-B	Gene_or_Protein
leucine aminopeptidase	Leucine aminopeptidase	Gene_or_Protein
lipoxygenase	Lipoxygenase	Gene_or_Protein
lycopene beta-cyclase	Lycopene beta-cyclase	Gene_or_Protein
lycopene beta-cyclase	lycopene β-cyclases	Gene_or_Protein
MICRO.127.C2	Micro.187.C2	Gene_or_Protein
MYB	Myb	Gene_or_Protein
neoxanthin synthase	Neoxanthin synthase	Gene_or_Protein
patatin	Patatin	Gene_or_Protein
PDS	Pds	Gene_or_Protein
phytoene desaturase	Phytoene desaturase	Gene_or_Protein
phytoene desaturase	phytoene synthase	Gene_or_Protein
Pin2	pin2	Gene_or_Protein
polyphenol oxidase	Polyphenol oxidase	Gene_or_Protein
PPO	Ppo	Gene_or_Protein
psy	PSY	Gene_or_Protein
psy	PSY1	Gene_or_Protein
psy	Psy2	Gene_or_Protein
 -pyrophosphatase	-pyrophosphatase	Gene_or_Protein
 -ring hydroxylase	-ring hydroxylase	Gene_or_Protein
SGT	Sgt1	Gene_or_Protein
SGT	SGT2	Gene_or_Protein
AN1	StAN1	Gene_or_Protein
sucrose	sucrose	Gene_or_Protein
sucrose synthase	Sucrose synthase	Gene_or_Protein
tlcy-b	tLcy-b	Gene_or_Protein
TLRP	tlrp	Gene_or_Protein
 -ureidopropionase	-ureidopropionase	Gene_or_Protein
zds	ZDS	Gene_or_Protein
zeaxanthin epoxidase	Zeaxanthin Epoxidase	Gene_or_Protein
zeaxanthin epoxidase	Zep	Gene_or_Protein
beta-carotene hydroxylase	β-carotene hydroxylase	Gene_or_Protein
beta-carotene hydroxylase	β-carotene hydroxylase 2	Gene_or_Protein
beta-cyclase	β-cyclase	Gene_or_Protein
epsilon-cyclase	ε-cyclase	Gene_or_Protein
